Algorithm,Difference in Pixels
screen-saoradius0SAO_1.46.txt,728449
screen-saoradius0SAO_1.49.txt,726481
screen-saoradius0SAO_1.48.txt,726520
screen-saoradius0SAO_1.51.txt,725910
screen-saoradius0SAO_1.47.txt,727312
screen-saoradius0SAO_1.52.txt,725872
screen-saoradius0SAO_1.54.txt,725944
screen-saoradius0SAO_1.53.txt,726009
screen-saoradius0SAO_1.55.txt,725815
screen-saoradius0SAO_1.5.txt,726152
